,budget,top_genre,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,cast,crew,all_genres
0,237000000,Action,19995,"culture clash, future, space war, space colony, society, space travel, futuristic, romance, space, alien",en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,"Ingenious Film Partners, Twentieth Century Fox Film Corporation, Dune Entertainment, Lightstorm Entertainment","United States of America, United Kingdom",12/10/2009,2787965087,162.0,"English, Español",Released,Enter the World of Pandora.,Avatar,7.2,11800,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Michelle Rodriguez, Giovanni Ribisi, Joel David Moore, CCH Pounder, Wes Studi, Laz Alonso","Stephen E. Rivkin, Rick Carter, Christopher Boyes, Christopher Boyes, Mali Finn, James Horner, James Cameron, James Cameron, James Cameron, James Cameron","Action, Adventure, Fantasy, Science Fiction"
1,300000000,Adventure,285,"ocean, drug abuse, exotic island, east india trading company, love of one's life, traitor, shipwreck, strong woman, ship, alliance",en,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",United States of America,5/19/2007,961000000,169.0,English,Released,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,4500,"Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård, Chow Yun-fat, Bill Nighy, Geoffrey Rush, Jack Davenport, Kevin McNally, Tom Hollander","Dariusz Wolski, Gore Verbinski, Jerry Bruckheimer, Ted Elliott, Terry Rossio, Stephen E. Rivkin, Craig Wood, Hans Zimmer, Mike Stenson, Eric McLeod","Adventure, Fantasy, Action"
2,245000000,Action,206647,"spy, based on novel, secret agent, sequel, mi6, british secret service, united kingdom",en,Spectre,"A cryptic message from Bondâ€™s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",107.37678799999999,"Columbia Pictures, Danjaq, B24","United Kingdom, United States of America",10/26/2015,880674609,148.0,"Français, English, Español, Italiano, Deutsch",Released,A Plan No One Escapes,Spectre,6.3,4466,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes, Monica Bellucci, Ben Whishaw, Naomie Harris, Dave Bautista, Andrew Scott, Rory Kinnear","Thomas Newman, Sam Mendes, Anna Pinnock, John Logan, John Logan, Dennis Gassner, Ian Fleming, Lee Smith, Bill Bernstein, Daniel Craig","Action, Adventure, Crime"
3,250000000,Action,49026,"dc comics, crime fighter, terrorist, secret identity, burglar, hostage drama, time bomb, gotham city, vigilante, cover-up",en,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",112.31295,"Legendary Pictures, Warner Bros., DC Entertainment, Syncopy",United States of America,7/16/2012,1084939099,165.0,English,Released,The Legend Ends,The Dark Knight Rises,7.6,9106,"Christian Bale, Michael Caine, Gary Oldman, Anne Hathaway, Tom Hardy, Marion Cotillard, Joseph Gordon-Levitt, Morgan Freeman, Cillian Murphy, Juno Temple","Hans Zimmer, Charles Roven, Christopher Nolan, Christopher Nolan, Christopher Nolan, Christopher Nolan, Jonathan Nolan, Emma Thomas, Wally Pfister, Wally Pfister","Action, Crime, Drama, Thriller"
4,260000000,Action,49529,"based on novel, mars, medallion, space travel, princess, alien, steampunk, martian, escape, edgar rice burroughs",en,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,Walt Disney Pictures,United States of America,3/7/2012,284139100,132.0,English,Released,"Lost in our world, found in another.",John Carter,6.1,2124,"Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe, Thomas Haden Church, Mark Strong, Ciarán Hinds, Dominic West, James Purefoy, Bryan Cranston","Andrew Stanton, Andrew Stanton, John Lasseter, Colin Wilson, Gail Stevens, Tom Johnson, Eric Zumbrunnen, Michael Silvers, Juan Peralta, Paul Gooch","Action, Adventure, Science Fiction"
5,258000000,Fantasy,559,"dual identity, amnesia, sandstorm, love of one's life, forgiveness, spider, wretch, death of a friend, egomania, sand",en,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain â€“ including the shape-shifting Sandman. While Spider-Manâ€™s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.69981399999999,"Columbia Pictures, Laura Ziskin Productions, Marvel Enterprises",United States of America,5/1/2007,890871626,139.0,"English, Français",Released,The battle within.,Spider-Man 3,5.9,3576,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace, Bryce Dallas Howard, Rosemary Harris, James Cromwell, J.K. Simmons, Theresa Russell","Francine Maisler, Joseph M. Caracciolo Jr., Sam Raimi, Sam Raimi, Stan Lee, Stan Lee, Steve Ditko, Bob Murawski, Laura Ziskin, Avi Arad","Fantasy, Action, Adventure"
6,260000000,Animation,38757,"hostage, magic, horse, fairy tale, musical, princess, animation, tower, blonde woman, selfishness",en,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,"Walt Disney Pictures, Walt Disney Animation Studios",United States of America,11/24/2010,591794936,100.0,English,Released,They're taking adventure to new lengths.,Tangled,7.4,3330,"Zachary Levi, Mandy Moore, Donna Murphy, Ron Perlman, M.C. Gainey, Jeffrey Tambor, Brad Garrett, Paul F. Tompkins, Richard Kiel, Delaney Rose Stein","John Lasseter, Jacob Grimm, Wilhelm Grimm, John Kahrs, Douglas Rogers, Alan Menken, Alan Menken, Dan Fogelman, Roy Conli, Mark Kennedy","Animation, Family"
7,280000000,Action,99861,"marvel comic, sequel, superhero, based on comic book, vision, superhero team, duringcreditsstinger, marvel cinematic universe, 3d",en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earthâ€™s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",134.27922900000002,"Marvel Studios, Prime Focus, Revolution Sun Studios",United States of America,4/22/2015,1405403694,141.0,English,Released,A New Age Has Come.,Avengers: Age of Ultron,7.3,6767,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Jeremy Renner, James Spader, Samuel L. Jackson, Don Cheadle, Aaron Taylor-Johnson","Danny Elfman, Christopher Boyes, Christopher Boyes, Sarah Finn, Brian Tyler, Stan Lee, Stan Lee, Kevin Feige, Richard Roberts, Patricia Whitcher","Action, Adventure, Science Fiction"
8,250000000,Adventure,767,"witch, magic, broom, school of witchcraft, wizardry, apparition, teenage crush, werewolf",en,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,"Warner Bros., Heyday Films","United Kingdom, United States of America",7/7/2009,933959197,153.0,English,Released,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293,"Daniel Radcliffe, Rupert Grint, Emma Watson, Tom Felton, Michael Gambon, Jim Broadbent, Helena Bonham Carter, Robbie Coltrane, Maggie Smith, Alan Rickman","Bruno Delbonnel, Stephanie McMillan, Stuart Craig, J.K. Rowling, Steve Kloves, David Heyman, Andrew Ackland-Snow, Gary Tomkins, Jany Temime, Fiona Weir","Adventure, Fantasy, Family"
9,250000000,Action,209112,"dc comics, vigilante, superhero, based on comic book, revenge, super powers, clark kent, bruce wayne, dc extended universe",en,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham Cityâ€™s own formidable, forceful vigilante takes on Metropolisâ€™s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than itâ€™s ever known before.",155.790452,"DC Comics, Atlas Entertainment, Warner Bros., DC Entertainment, Cruel & Unusual Films, RatPac-Dune Entertainment",United States of America,3/23/2016,873260194,151.0,English,Released,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7004,"Ben Affleck, Henry Cavill, Gal Gadot, Amy Adams, Jesse Eisenberg, Diane Lane, Jeremy Irons, Laurence Fishburne, Holly Hunter, Scoot McNairy","Hans Zimmer, Charles Roven, Christopher Nolan, Emma Thomas, David S. Goyer, David S. Goyer, Frank Miller, Frank Miller, Lora Kennedy, Bob Kane","Action, Adventure, Fantasy"
